domain,N_total,N_used_reg,r_log10q__log10dist1,log10_p_value,p_value_str,outliers_logIQR_ge110_pct,q_median_mWm2,q_p90_mWm2,dist_min_median_km
continental,54223,54223,-0.2951755530261611,-1125.7136614655537,< 1e-1126,0.3374951588809177,64.0,127.4,205.79092398028214
oceanic,36836,36836,-0.3272529563585661,-961.2437642571047,< 1e-962,1.8650233467260289,71.0,295.0,153.5226514678051
