,coef,se_HC3,pval
const,-207501711341.2607,4541.157226193517,0.0
s_logdist1_1,207501711343.25717,4541.157226193462,0.0
s_logdist1_2,-0.12007406828136111,6.364417179724585e-10,0.0
s_logdist1_3,-0.1878167537551241,4.312541620013521e-10,0.0
s_logdist1_4,-0.19739041782601038,4.655446478373452e-10,0.0
s_logdist1_5,-0.3255149394531824,4.515107156142892e-10,0.0
s_logdist1_6,-0.303922689629081,7.12272966240108e-10,0.0
s_logdist1_7,-0.09179639466103096,1.017557567608504e-09,0.0
