Model,N,Mean,Median,SD,p5,p95
GEM,55077,-2.2189543829681578e-17,-0.0025306245677452,0.2598529968712297,-0.3582844803399974,0.3380383362946874
PB2002,72139,-1.7335355562702232e-16,-0.0127216085919941,0.2881051217611687,-0.38419068362735465,0.4119754083218741
