lon,lat,q,dist_pb_km,dist_gem_km,dist_min_km
114.24416,-8.06034,4760.0,332.1999425826735,333.5787290572699,332.1999425826735
114.24409,-8.06048,21080.0,332.1831076862414,333.5616227541832,332.1831076862414
114.24403,-8.0605,109480.0,332.17975749498663,333.5579046190281,332.17975749498663
114.24488,-8.06034,59500.0,332.21355354348236,333.59709096539297,332.21355354348236
114.24468,-8.06074,15980.0,332.165453825149,333.5482132664035,332.165453825149
114.24466,-8.0607,10880.0,332.16950763446437,333.5520805690325,332.16950763446437
114.2445,-8.06058,35360.0,332.1797786485592,333.5611320868098,332.1797786485592
114.24423,-8.06033,7820.0,332.2023738423661,333.58160786664746,332.2023738423661
114.24429,-8.06025,5440.0,332.21237186280047,333.59189283468584,332.21237186280047
114.24419,-8.06005,2720.0,332.23264087816017,333.6112322536809,332.23264087816017
114.24427,-8.06099,5780.0,332.1300038069522,333.51039615220077,332.1300038069522
-120.3517,42.215,2861.0,533.1483839902163,0.9801295091913806,0.9801295091913806
-120.3567,42.22,2882.0,533.074446635849,0.5623843917795989,0.5623843917795989
-119.4,40.3967,5832.0,508.4733930909742,1.7263965473303173,1.7263965473303173
-119.4,40.4083,5374.8,509.23018436779927,1.5251925069427592,1.5251925069427592
-112.84,38.4933,2984.8,747.5778126091056,74.57458484583805,74.57458484583805
-119.4,40.3917,2918.0,508.14723016746734,1.8284593118784038,1.8284593118784038
-118.7,41.9333,3193.6,677.0117479183573,1.4502161275950813,1.4502161275950813
-119.4,40.4033,5446.4,508.9039652398091,1.591662092000369,1.591662092000369
-119.41,40.4133,8420.4,508.56024560244026,2.766902758073458,2.766902758073458
-119.4,40.4133,3670.4,509.55642773196104,1.7080327691847603,1.7080327691847603
-112.86,38.4667,2448.0,743.2004411680667,71.39108745061118,71.39108745061118
-118.58,39.3067,3213.3,476.8126961339058,8.649221140050452,8.649221140050452
-118.58,39.3017,3464.4,476.27948189367396,9.06143079066333,9.06143079066333
-118.59,39.3267,2719.6,478.19876956359576,7.912363981248222,7.912363981248222
-118.58,39.3167,3410.0,477.8792389125319,7.824713478833444,7.824713478833444
-118.58,39.3567,3037.6,482.1469353976166,4.525503622259248,4.525503622259248
-118.54,42.5467,2297.0,733.5594289684473,0.8093053485439499,0.8093053485439499
-118.6,39.3383,2016.7,478.6891625564729,7.867926664345119,7.867926664345119
-118.57,39.2933,3221.7,476.1309322945638,8.84160069818932,8.84160069818932
-118.57,39.2867,2326.3,475.42723224379466,9.394367668806451,9.394367668806451
-118.58,39.2967,2694.5,475.74630574016237,9.473610997738408,9.473610997738408
-116.15,41.4817,2054.0,894.06898554747,7.814698415948303,7.814698415948303
-118.07,39.795,2790.0,567.1768092457439,1.5310939205098184,1.5310939205098184
-121.76,42.23,3526.4,384.40840294730947,4.5173149249531965,4.5173149249531965
-119.02,39.7867,6023.6,491.80362964420425,27.025227006445327,27.025227006445327
-113.44,42.0767,2660.0,1169.3857042438462,90.20905059370322,90.20905059370322
-119.01,39.7967,5693.6,493.5537278826981,25.6600640504144,25.6600640504144
-119.0,39.8083,7609.8,495.43948914940285,24.125953141040533,24.125953141040533
-119.02,39.7817,2763.2,491.38021099288056,27.748681093990676,27.748681093990676
-113.45,42.0667,6176.5,1167.5531953309753,90.52176308813544,90.52176308813544
-119.01,39.775,7730.8,491.7160468426237,28.79093827611704,28.79093827611704
-113.45,42.0667,4906.5,1167.5531953309753,90.52176308813544,90.52176308813544
-116.6,40.5633,2100.0,760.2155310285297,3.79894727542677,3.79894727542677
-113.42,42.0817,6037.5,1171.5374315401102,88.59763969408901,88.59763969408901
-113.43,42.0817,5832.8,1170.7138227240225,89.57633435808668,89.57633435808668
-113.53,42.0617,5250.0,1160.4599343493837,98.27703062107999,98.27703062107999
-116.6,40.56,2932.5,759.8651291735501,3.398957455695422,3.398957455695422
-119.02,39.79,4206.4,492.0831028107067,26.547743852724693,26.547743852724693
-119.02,39.79,3271.4,492.0831028107067,26.547743852724693,26.547743852724693
-119.01,39.79,2741.2,492.9862714217274,26.626526167598367,26.626526167598367
-116.18,43.6167,2637.2,1041.9772122083964,58.0993639683075,58.0993639683075
-116.59,40.5633,4200.0,760.9829056895171,3.173432185804318,3.173432185804318
-118.13,40.9917,2730.6,673.9765793865511,17.225125338683714,17.225125338683714
-118.57,39.3583,4586.4,483.0648586534479,3.481219924171771,3.481219924171771
-111.94,42.1267,3096.9,1260.238309499765,16.45695295815169,16.45695295815169
-113.56,37.6583,3000.0,604.8702225198579,45.172697228900205,45.172697228900205
-111.95,42.145,2929.5,1262.2730012183792,16.612446524140505,16.612446524140505
-111.73,45.37,2298.8,1607.8881884692607,14.60822934071559,14.60822934071559
-117.65,40.6067,2761.0,685.400462521582,2.051569825677889,2.051569825677889
-118.55,39.5217,3330.0,502.01856750244866,3.4052333206085588,3.4052333206085588
-119.37,40.6683,2720.0,529.2593448197018,1.7418802131419109,1.7418802131419109
-119.01,39.7983,10234.4,493.68924804991485,25.429300893575537,25.429300893575537
-119.01,39.7783,3088.8,491.9954724942546,28.31469715212552,28.31469715212552
-117.85,39.985,4144.6,604.0486853932408,1.2244825149126077,1.2244825149126077
-117.85,39.99,2569.0,604.5871950809496,0.7474580258247804,0.7474580258247804
-121.81,48.765,2990.0,531.012328642982,32.775675085233026,32.775675085233026
-117.87,39.8017,3263.4,582.8397153938004,17.882274241463662,17.882274241463662
-119.75,39.405,5904.8,393.6364665436259,10.151885343894868,10.151885343894868
-118.91,41.7817,4075.0,646.1346794821441,2.585503421551081,2.585503421551081
-117.49,40.7667,5091.8,713.5823677112365,0.29815766051430964,0.29815766051430964
-117.49,40.7667,11200.0,713.5823677112365,0.29815766051430964,0.29815766051430964
-111.95,42.1467,2134.0,1262.5051827871669,16.742248518935853,16.742248518935853
-111.94,42.1317,2050.0,1260.9205089346083,16.72752371326309,16.72752371326309
-111.92,42.1367,3054.0,1262.531701494692,19.0727157556085,19.0727157556085
-111.95,42.1517,2176.0,1263.1881574605322,17.14037996777313,17.14037996777313
-111.93,42.1333,2594.0,1261.6030365377792,17.849602225499897,17.849602225499897
-111.94,42.1483,2761.0,1263.1863530396,17.82429265216356,17.82429265216356
-119.73,39.38,4252.5,393.33764527427746,11.88966020264232,11.88966020264232
-119.75,39.395,3950.0,392.79431262693805,9.913695463349404,9.913695463349404
-119.75,39.3883,2780.0,392.2301370340661,9.757473146402337,9.757473146402337
-119.75,39.3883,3584.0,392.2301370340661,9.757473146402337,9.757473146402337
-119.75,39.39,3088.0,392.3732809361903,9.794623347184283,9.794623347184283
-119.75,39.395,4585.0,392.79431262693805,9.913695463349404,9.913695463349404
-119.77,39.3883,3296.0,390.4237998120246,7.558380721456543,7.558380721456543
-119.75,39.3883,8052.5,392.2301370340661,9.757473146402337,9.757473146402337
-119.75,39.405,2262.3,393.6364665436259,10.151885343894868,10.151885343894868
-120.35,42.215,2862.0,533.3089872714926,1.166501890803349,1.166501890803349
-119.76,39.3883,8295.0,391.3269684230453,8.65654887427519,8.65654887427519
-120.36,42.2217,2883.0,532.8987690056724,0.2449441038089059,0.2449441038089059
-113.57,37.66,3006.0,604.4323606886239,46.24631457656838,46.24631457656838
-113.57,37.655,2351.0,603.8543839485877,45.884674242713274,45.884674242713274
-113.56,37.6383,8000.0,602.5629923645472,43.75602967854524,43.75602967854524
-113.56,37.6517,8570.0,604.1082950937183,44.69056223319517,44.69056223319517
-113.56,37.6517,3065.0,604.1082950937183,44.69056223319517,44.69056223319517
-119.75,39.3883,2659.7,392.2301370340661,9.757473146402337,9.757473146402337
-119.76,39.3883,2722.3,391.3269684230453,8.65654887427519,8.65654887427519
-112.57,38.5467,3640.0,771.1859724784368,81.91991760477131,81.91991760477131
-118.55,39.52,3330.0,501.8367104445491,3.39146969273632,3.39146969273632
-118.56,39.535,2510.0,502.6943206291198,4.624366689809679,4.624366689809679
-118.81,41.3583,2038.4,630.6744571919289,30.093341050593967,30.093341050593967
-112.25,41.58,4184.0,1171.5880128062108,22.252434800170207,22.252434800170207
-112.26,41.5833,2220.0,1171.5681084481064,23.224527066126228,23.224527066126228
-112.1,38.6383,3400.0,812.4541441875718,115.16741550993353,115.16741550993353
-112.1,38.635,3350.0,812.0733571851791,114.78540464661288,114.78540464661288
-119.81,39.4833,2998.8,394.8156995340079,4.814090764534377,4.814090764534377
-119.81,39.4833,3123.0,394.8156995340079,4.814090764534377,4.814090764534377
-119.75,39.39,4727.5,392.3732809361903,9.794623347184283,9.794623347184283
-119.75,39.4017,2188.9,393.3585424036329,10.073278908190115,10.073278908190115
-119.41,40.415,2380.0,508.67117386833615,2.8435982377786333,2.8435982377786333
-119.75,39.3967,5563.8,392.93747027548176,9.954185334060803,9.954185334060803
-111.73,45.37,3182.2,1607.8881884692607,14.60822934071559,14.60822934071559
-119.73,39.38,2058.5,393.33764527427746,11.88966020264232,11.88966020264232
-121.77,42.2333,4854.6,383.2670242229286,5.447652970751169,5.447652970751169
-119.73,39.38,6487.5,393.33764527427746,11.88966020264232,11.88966020264232
-119.79,41.3883,2094.4,532.6928635082842,39.29705950615407,39.29705950615407
-119.79,41.3783,6132.0,532.0920525394677,38.374420987270796,38.374420987270796
-119.79,41.3833,6521.2,532.3920583960578,38.96829368100625,38.96829368100625
-119.8,41.37,6132.0,530.5761295368015,36.77150326413468,36.77150326413468
-120.6,40.3717,2195.2,387.62416942448766,8.665084348003273,8.665084348003273
-111.73,45.3683,2004.8,1607.7594139636049,14.610379060271208,14.610379060271208
-111.73,45.3683,3442.6,1607.7594139636049,14.610379060271208,14.610379060271208
-119.37,40.6517,4180.0,528.1488118593844,2.17675912993539,2.17675912993539
-116.58,40.5617,2784.6,761.5815644824445,2.3539801755165026,2.3539801755165026
-119.75,39.405,4978.6,393.6364665436259,10.151885343894868,10.151885343894868
