CONTINENT,Divergent,Full,Partial,total,full_pct,partial_pct,divergent_pct
Antarctica,0,52,0,52,100.0,0.0,0.0
South America,76,746,202,1024,72.8515625,19.7265625,7.421875
North America,3422,7293,4019,14734,49.49776028234017,27.2770462874983,23.225193430161532
Europe,1082,3430,4546,9058,37.86707882534776,50.187679399425924,11.945241775226318
Other/Sea,5160,7558,8797,21515,35.128979781547756,40.887752730653034,23.98326748779921
Asia,516,494,1307,2317,21.32067328441951,56.409149762624075,22.270176952956408
Africa,400,868,2870,4138,20.97631706138231,69.35717738037698,9.666505558240695
Oceania,130,3,449,582,0.5154639175257731,77.14776632302406,22.336769759450174
