cluster,N,slope,intercept,r,t_slope,log10_p_slope,log10_p_fdr_bh,p_str,p_fdr_bh_str,p_display,p_fdr_bh_display,reject_fdr_0.05
0,9341,0.019650602822283328,1.5100208543818752,0.02245537411888408,2.170601033795631,-1.5230748751298664,-1.3981361385215665,0.03,0.04,0.03 (log10 p=-1.5),0.04 (log10 p=-1.4),True
1,16925,-0.03748902335369263,2.0255404739941207,-0.06584490774484615,8.584289798811211,-17.003381309597653,-16.702351313933672,< 1e-18,< 1e-17,< 1e-18 (log10 p=-17.0),< 1e-17 (log10 p=-16.7),True
2,1484,0.04042059079731682,2.562995711810943,0.023619402082162472,0.9095240268357063,-0.4398284864733021,-0.4398284864733021,0.363,0.363,0.363 (log10 p=-0.4),0.363 (log10 p=-0.4),False
3,25670,-0.08398744995611429,2.000331193217629,-0.12643742270518313,20.420722530934693,-91.22966674716254,-90.62760675583458,< 1e-92,< 1e-91,< 1e-92 (log10 p=-91.2),< 1e-91 (log10 p=-90.6),True
