lon,lat,q
38.5117,20.0683,172.0
-106.0,17.1667,255.0
-83.2833,6.85,172.0
126.15,26.4667,375.0
125.92,26.27333333,227.0
125.9733333,26.33666667,328.0
125.9733333,26.34333333,266.0
125.9733333,26.34333333,266.0
127.1583333,27.58833333,398.0
127.1633333,27.59,822.0
127.1433333,27.58666667,1581.0
127.1433333,27.58833333,1267.0
127.1433333,27.59,650.0
127.1433333,27.59,650.0
127.15,27.585,817.0
127.15,27.585,817.0
127.1533333,27.59666667,226.0
127.1366667,27.59666667,945.0
127.1333333,27.6,931.0
127.1316667,27.60166667,1058.0
127.1583333,27.59,455.0
127.1433333,27.58833333,220.0
127.1416667,27.59,489.0
127.14,27.59166667,257.0
127.14,27.59333333,223.0
127.1533333,27.59666667,226.0
127.1366667,27.59666667,945.0
127.1333333,27.6,931.0
127.1316667,27.60166667,1058.0
127.1583333,27.59,455.0
127.1433333,27.58833333,220.0
127.1416667,27.59,489.0
127.14,27.59166667,257.0
127.14,27.59166667,257.0
127.14,27.59333333,223.0
127.14,27.59333333,223.0
125.92,26.27333333,227.0
125.9733333,26.33666667,328.0
125.9733333,26.34333333,266.0
125.9733333,26.34333333,266.0
127.1583333,27.58833333,398.0
127.1633333,27.59,822.0
127.1433333,27.58666667,1581.0
127.1433333,27.58833333,1267.0
127.1433333,27.59,650.0
127.1433333,27.59,650.0
127.15,27.585,817.0
127.15,27.585,817.0
126.5616667,27.03,171.0
125.8283,26.27,185.0
126.4483,26.8,238.0
