lon,lat,q
-116.03,42.8217,330.5
-116.29,42.9217,192.5
-116.04,42.835,213.4
-116.21,42.84,443.5
-116.29,42.9033,251.0
-116.28,42.8683,251.0
-115.78,42.6167,234.3
-116.27,42.875,364.0
-115.76,42.7467,569.0
-115.76,42.7217,188.3
-115.78,42.6183,205.0
-115.83,42.6533,184.1
-116.26,42.8817,301.2
-115.55,42.415,176.0
-113.21,32.0933,334.0
-115.95,42.8317,275.8
-115.79,42.79,172.2
-116.28,42.9083,280.0
-116.2,42.8683,330.4
-112.35,43.06,668.0
-109.04,44.4567,248.1
-109.72,32.67,333.0
-109.71,32.6717,185.0
-109.71,32.6717,220.0
-109.71,32.66,217.0
-79.83,38.0,318.0
-109.13,34.12,170.0
-109.13,34.14,280.0
-127.91,47.735,345.0
-61.03,13.4983,1710.0
-61.03,13.4983,509.4
-112.11,38.625,775.0
-112.11,38.625,1689.0
-112.11,38.625,1082.0
-112.11,38.6267,1836.0
-112.1,38.6167,548.0
-111.79,43.81,569.6
-112.1,38.6283,325.0
-107.67,37.9333,213.0
-120.54,44.8233,198.0
-116.03,42.82,208.0
-116.03,42.82,203.0
-116.21,42.86,236.0
-112.1,38.635,1488.0
-112.1,38.6383,3400.0
-112.11,38.64,1160.0
-112.1,38.635,3350.0
-112.1,38.635,180.0
-112.1,38.6333,866.0
-108.02,37.705,235.0
-61.03,13.4983,352.8
-115.73,42.78,336.0
-108.56,44.195,436.8
-113.26,39.5467,275.6
-113.18,39.5683,316.4
-113.24,39.6917,270.5
-113.19,39.6867,176.1
-113.16,39.6067,214.4
-113.07,39.52,252.6
-113.09,39.535,191.4
-113.12,39.51,255.2
-113.17,39.58,273.1
-113.21,39.5683,196.5
-113.21,39.595,239.9
-113.02,39.5167,351.6
-113.28,39.555,221.7
-113.18,39.555,208.9
-113.13,39.54,275.2
-113.24,39.5283,229.3
-113.18,39.4883,186.0
-113.13,39.4883,285.4
-113.15,39.4417,191.1
-113.16,39.585,344.0
-113.25,39.5833,178.4
-113.31,39.575,234.4
-113.22,39.5817,344.0
-113.2,39.565,295.6
-113.14,39.565,244.6
-113.11,39.5483,178.4
-113.08,39.535,178.4
-113.13,39.525,231.9
-113.17,39.535,170.7
-113.17,39.5017,229.3
-113.26,39.5683,275.2
-113.15,39.49,313.4
-113.11,39.49,198.7
-113.12,39.59,249.7
-113.2,39.5333,196.2
-113.34,39.6,229.3
-113.31,39.59,262.4
-113.29,39.6017,282.8
-108.83,32.1433,273.0
-112.45,42.95,306.0
-112.44,42.95,239.0
-114.7,42.1817,240.0
-113.13,39.4783,389.0
-109.09,44.5067,220.5
-109.09,44.5017,224.0
-109.09,44.5017,890.4
-109.09,44.4983,265.9
-114.66,42.19,200.0
-114.67,42.1833,191.0
-113.4,42.4233,169.0
-115.9,42.8183,202.0
-116.04,43.0083,180.0
-116.2,42.96,242.0
-116.02,42.9083,197.1
-114.99,42.5783,254.0
-114.96,42.595,188.0
-114.96,42.585,175.0
-112.85,42.7533,218.0
-118.863,43.6133,341.0
9.28,47.415,187.0
9.28,47.415,187.0
10.9,43.2,426.1
10.9,43.2,426.1
10.9,43.2,426.1
10.9,43.2,426.1
10.9,43.2,426.1
10.9,43.2,426.1
10.9,43.2,426.1
10.9,43.2,426.1
-100.5333,12.8333,222.0
-102.2833,12.15,324.0
-98.6833,-0.5333,331.0
34.98,24.82,179.0
-116.273,42.87,174.0
-116.2733,42.87,174.0
-112.068,43.2833,173.0
-112.846,42.7533,217.0
-130.977,35.4917,192.0
8.525,43.085,180.0
8.4217,43.1283,336.0
7.535,42.49,278.0
101.0692,1.715,176.0
101.7224,1.9323,181.0
102.0573,0.6289,247.0
102.074,0.6328,272.0
102.088,1.1384,369.0
102.1019,1.2569,190.0
101.26556,1.38944,184.8
102.0629,1.3003,188.9
102.01111,0.7725,185.2
101.77667,1.31889,193.5
101.30083,1.155,186.8
102.05528,1.04417,196.9
101.00583,1.73667,172.6
13.85,50.633333,184.6
13.85,50.633333,184.6
13.848333333333333,50.63333333333333,185.0
13.85,50.633333,184.6
-64.3333,14.1667,214.0
-64.0833,14.2,219.0
-63.7417,14.1883,242.0
-63.0383,14.24,203.0
-62.8983,14.2133,184.0
-62.7917,14.2233,196.0
-60.61,14.225,210.0
-60.3833,14.2417,232.0
-60.145,14.2833,334.0
-113.57,38.565,2351.0
0.7883,79.2617,229.0
-7.0833,82.0017,173.0
4.5,77.995,228.7
9.5433,75.0567,175.5
9.3283,78.0067,175.0
6.7512,77.995,233.0
6.3737,78.0035,180.0
5.5127,78.0012,176.0
9.3283,78.007,175.0
9.544,75.0567,176.0
5.426,78.3112,179.0
2.3962,79.3592,200.0
9.646333333333333,52.346000000000004,184.0
9.648833333333332,52.31636111111111,192.0
-114.04,3.92167,184.756
-127.722,47.8363,1164.0
-127.741,47.8403,759.0
-127.749,47.8417,310.0
-127.765,47.8435,253.0
-127.772,47.8443,223.0
-127.777,47.845,194.0
-127.785,47.8473,213.0
-127.795,47.8483,209.0
-127.809,47.8503,237.0
-127.818,47.8527,255.0
-127.823,47.8522,277.0
-127.831,47.8545,258.0
-127.843,47.8562,269.0
-127.872,47.8593,213.0
-127.906,47.8633,221.0
-127.633,47.8492,1741.0
-127.641,47.8508,366.0
-127.648,47.8523,460.0
-127.666,47.8558,215.0
-127.674,47.8583,200.0
-127.684,47.8593,171.0
-127.695,47.8617,202.0
-127.702,47.8625,244.0
-127.707,47.8637,326.0
-127.71,47.8642,440.0
-127.715,47.8652,1004.0
-127.72,47.866,1169.0
-127.722,47.8675,353.0
-127.728,47.8687,253.0
-127.736,47.87,300.0
-127.742,47.8698,297.0
-127.623,47.8698,720.0
-127.639,47.8963,262.0
-127.643,47.9113,225.0
-127.646,47.9172,197.0
-127.651,47.9228,170.0
-127.684,47.8633,177.0
-127.685,47.8692,196.0
-127.689,47.8735,244.0
-127.693,47.8792,246.0
-127.696,47.8858,223.0
-127.699,47.8892,283.0
-127.7,47.8918,338.0
-127.705,47.8953,512.0
-127.705,47.9008,988.0
-127.709,47.907,429.0
-127.714,47.9172,277.0
-127.717,47.9208,340.0
-127.721,47.9275,273.0
-127.725,47.937,277.0
-127.729,47.9442,279.0
-127.733,47.9495,195.0
-127.735,47.9553,178.0
-127.738,47.9602,180.0
-127.664,47.8315,222.0
-127.665,47.8373,196.0
-127.668,47.8422,210.0
-127.671,47.8465,260.0
-127.672,47.853,211.0
-127.677,47.8553,199.0
-127.486,47.8175,208.0
-127.491,47.8183,185.0
-127.507,47.82,216.0
-127.562,47.8323,251.0
-127.569,47.8352,275.0
-127.576,47.836,393.0
-127.591,47.839,237.0
-127.598,47.8417,197.0
-127.608,47.8435,253.0
-127.59,47.913,205.0
-127.592,47.9113,224.0
-127.824,47.7223,184.0
-127.816,47.72,181.0
-127.812,47.7186,172.0
-127.796,47.7152,218.0
-127.792,47.7132,269.0
-127.788,47.7127,302.0
-127.786,47.7145,971.0
-127.778,47.7108,1234.0
-127.777,47.7098,465.0
-127.776,47.7095,434.0
-127.776,47.7092,311.0
-127.772,47.7083,227.0
-127.766,47.707,210.0
-127.761,47.706,197.0
-127.757,47.7566,179.0
-127.753,47.7035,178.0
-127.697,47.8618,217.0
-127.7,47.8623,214.0
-127.704,47.863,245.0
-127.709,47.8635,309.0
-127.712,47.8642,392.0
-127.715,47.8652,564.0
-127.718,47.8655,1066.0
-127.722,47.8668,1003.0
-127.725,47.868,335.0
-127.728,47.868,214.0
-127.735,47.8697,217.0
-127.733,47.852,266.0
-127.728,47.8505,295.0
-127.723,47.8495,452.0
-127.72,47.8497,684.0
-127.718,47.8497,485.0
-127.716,47.849,435.0
-127.715,47.8475,367.0
-127.711,47.8473,255.0
-127.703,47.8475,208.0
-127.851,47.7883,220.0
-127.786,47.7152,1354.0
-127.785,47.7142,2350.0
-127.785,47.715,3082.0
-127.785,47.7163,1865.0
-127.783,47.7182,598.0
-127.781,47.7185,429.0
-127.782,47.7198,389.0
-127.784,47.719,382.0
-127.78,47.7213,346.0
-127.779,47.724,282.0
-127.779,47.7253,274.0
-127.778,47.7268,279.0
-127.777,47.7285,269.0
-127.775,47.732,268.0
-127.774,47.733,268.0
-127.774,47.7348,270.0
-127.774,47.736,272.0
-127.772,47.7378,291.0
-127.775,47.6907,184.0
-127.779,47.691,199.0
-127.781,47.6914,210.0
-127.786,47.6925,231.0
-127.789,47.6935,284.0
-127.792,47.694,292.0
-127.796,47.6946,288.0
-127.799,47.696,234.0
-127.802,47.696,253.0
-127.805,47.6965,227.0
-127.808,47.6976,182.0
-127.746,47.719,169.0
-127.748,47.7201,173.0
-127.755,47.72,177.0
-127.758,47.7199,183.0
-127.765,47.7223,189.0
-127.768,47.7228,208.0
-127.771,47.7232,230.0
-127.776,47.7234,272.0
-127.778,47.7242,273.0
-127.781,47.7254,276.0
-127.784,47.7255,278.0
-127.786,47.7283,252.0
-127.79,47.7265,232.0
-127.794,47.7272,206.0
-127.797,47.7278,186.0
-127.799,47.7289,175.0
-127.803,47.7291,188.0
-127.807,47.7298,185.0
-127.811,47.7301,186.0
-127.813,47.7312,192.0
-127.816,47.7311,180.0
-127.819,47.7316,172.0
-127.747,47.7371,170.0
-127.75,47.7373,170.0
-127.753,47.7384,179.0
-127.759,47.7397,200.0
-127.762,47.7403,220.0
-127.765,47.7406,234.0
-127.769,47.7414,266.0
-127.772,47.7419,272.0
-127.775,47.7428,272.0
-127.779,47.743,263.0
-127.782,47.7441,229.0
-127.784,47.7444,204.0
-127.788,47.7462,211.0
-127.791,47.7454,221.0
-127.795,47.746,219.0
-127.798,47.7467,214.0
-127.801,47.7475,205.0
-127.805,47.748,205.0
-127.808,47.749,207.0
-127.811,47.7492,200.0
-127.815,47.75,192.0
-127.82,47.7513,172.0
-127.824,47.752,169.0
-127.828,47.7524,171.0
-127.776,47.6864,200.0
-127.778,47.6863,212.0
-127.781,47.6865,233.0
-127.783,47.6877,239.0
-127.786,47.6879,244.0
-127.789,47.6889,268.0
-127.791,47.6894,294.0
-127.793,47.6899,306.0
-127.796,47.6907,311.0
-127.798,47.6915,261.0
-127.801,47.6919,235.0
-127.802,47.6922,233.0
-127.806,47.6927,221.0
-127.809,47.6937,202.0
-127.811,47.694,200.0
-127.796,47.6926,245.0
-127.795,47.6937,271.0
-127.793,47.6959,278.0
-127.793,47.6978,265.0
-127.793,47.6992,272.0
-127.75,47.7007,169.0
-127.757,47.7034,178.0
-127.76,47.7035,176.0
