bootstrap,sample_size,ARI
1,42736,0.9889583789346083
2,42736,0.9655857214512588
3,42736,0.9711750473313987
4,42736,0.9372741233461185
5,42736,0.9500406605306798
6,42736,0.9542679540465082
7,42736,0.9581782020890425
8,42736,0.9878204538722334
9,42736,0.9791578006077573
10,42736,0.9625846968669591
11,42736,0.9394426612634851
12,42736,0.9800066819599436
13,42736,0.9704375282649123
14,42736,0.9603405493380269
15,42736,0.9684181884118932
16,42736,0.9675948249012755
17,42736,0.9716801996448393
18,42736,0.9654354905927622
19,42736,0.8720973407599685
20,42736,0.9745776384529738
21,42736,0.9841567628657966
22,42736,0.9551651687937657
23,42736,0.9777298711996097
24,42736,0.9295627050619081
25,42736,0.9664453720648708
26,42736,0.9518318935232014
27,42736,0.9575321118535443
28,42736,0.8967702901969974
29,42736,0.9724587738419822
30,42736,0.9716778993353269
31,42736,0.98244846640934
32,42736,0.9925809789487926
33,42736,0.9767750761356111
34,42736,0.9483765971508926
35,42736,0.9620768180664433
36,42736,0.9273650231520401
37,42736,0.986863854267708
38,42736,0.9928674983871619
39,42736,0.9893178828572229
40,42736,0.9686639673079016
41,42736,0.9800826109470402
42,42736,0.921292711229712
43,42736,0.9890974332258349
44,42736,0.9893078806706103
45,42736,0.9702979115814074
46,42736,0.9250783969923693
47,42736,0.956171653420481
48,42736,0.938196714263455
49,42736,0.9536083932485591
50,42736,0.9418471605594251
51,42736,0.9935692682516639
52,42736,0.9476004276221333
53,42736,0.9768538519911584
54,42736,0.9502734957680804
55,42736,0.9521863240073947
56,42736,0.9094940397948571
57,42736,0.9051247277610578
58,42736,0.9663548359566206
59,42736,0.9587275625280851
60,42736,0.9711303585468464
61,42736,0.9614311117096741
62,42736,0.9435935189890449
63,42736,0.9595445851839297
64,42736,0.9645421474726336
65,42736,0.9551971052292233
66,42736,0.9569173296552366
67,42736,0.9941670333012015
68,42736,0.9666718011806524
69,42736,0.9460114791427409
70,42736,0.9289469035913097
71,42736,0.9803946924519935
72,42736,0.9533795204161161
73,42736,0.8802630934093918
74,42736,0.989157167297724
75,42736,0.9664069389777554
76,42736,0.9623902839059842
77,42736,0.9729109399853929
78,42736,0.9820561334141895
79,42736,0.9664712605548812
80,42736,0.9730708158724896
81,42736,0.9559124942758139
82,42736,0.9819420979547259
83,42736,0.9527976405410336
84,42736,0.9606534693200773
85,42736,0.9601287721851295
86,42736,0.9693179736765358
87,42736,0.9569055077334504
88,42736,0.9668545086618784
89,42736,0.9780457394177936
90,42736,0.971234568200704
91,42736,0.98790492998059
92,42736,0.9913304462848437
93,42736,0.925867072353972
94,42736,0.9557504130290105
95,42736,0.9687092514606268
96,42736,0.926510916955194
97,42736,0.9558571033622365
98,42736,0.9755884999780796
99,42736,0.936206921230727
100,42736,0.9695095862848936
101,42736,0.9607247243246545
102,42736,0.9628740592171323
103,42736,0.9188030744471627
104,42736,0.958499227546324
105,42736,0.9490890462553769
106,42736,0.9062607548370376
107,42736,0.9680841252442044
108,42736,0.9395527134484024
109,42736,0.991810646779645
110,42736,0.967993877353515
111,42736,0.8996206505963528
112,42736,0.9488376773270853
113,42736,0.9475736213806414
114,42736,0.9455937050045967
115,42736,0.9834441011973877
116,42736,0.9789748042190348
117,42736,0.9552500897137078
118,42736,0.9792496516076549
119,42736,0.9702535013873147
120,42736,0.9495580800052159
121,42736,0.9272144775654401
122,42736,0.9861642000022474
123,42736,0.9759164288453377
124,42736,0.9880514658980131
125,42736,0.9785547092395643
126,42736,0.9585081567451287
127,42736,0.8718609512864958
128,42736,0.9737958710443463
129,42736,0.9827636364888565
130,42736,0.9133651509497068
131,42736,0.9553028892832235
132,42736,0.9877104262055163
133,42736,0.9262743357510946
134,42736,0.9652698462750446
135,42736,0.9559236607538729
136,42736,0.9828283438433262
137,42736,0.979483538309704
138,42736,0.9854334069827468
139,42736,0.9725334842415306
140,42736,0.9456155648956216
141,42736,0.9531040741576514
142,42736,0.9537846718110913
143,42736,0.9327000349921339
144,42736,0.9662449054567331
145,42736,0.9876339812277708
146,42736,0.9677847277790707
147,42736,0.9466710087312663
148,42736,0.9461333089167108
149,42736,0.9884670125894004
150,42736,0.9754947020752761
151,42736,0.9349995000990707
152,42736,0.9734298034737884
153,42736,0.986561646610627
154,42736,0.952065007969949
155,42736,0.9789257523826876
156,42736,0.9433985809444748
157,42736,0.9512998136672532
158,42736,0.9686483507782453
159,42736,0.9606955908065743
160,42736,0.9664012669132738
161,42736,0.9490482447665324
162,42736,0.898781978586579
163,42736,0.9481779579690517
164,42736,0.9511298263371503
165,42736,0.9726451377767921
166,42736,0.9834566907944553
167,42736,0.9563571566060249
168,42736,0.9671948256117959
169,42736,0.9745143158549513
170,42736,0.9898438802640981
171,42736,0.9736286972729549
172,42736,0.9307445426263654
173,42736,0.9721924728780383
174,42736,0.9593811335752235
175,42736,0.8856346114141757
176,42736,0.9724461342899035
177,42736,0.9636451709424553
178,42736,0.8738180928750444
179,42736,0.9627946944653246
180,42736,0.9649074244145578
181,42736,0.9742196223198145
182,42736,0.9639309023135263
183,42736,0.9714052614408498
184,42736,0.9477884079352104
185,42736,0.9648995151086993
186,42736,0.9223718596376422
187,42736,0.9959335886254598
188,42736,0.9083003607931998
189,42736,0.8889790785694374
190,42736,0.957137874642128
191,42736,0.9553827343524672
192,42736,0.9109708930367657
193,42736,0.9727616099538763
194,42736,0.9500701103019251
195,42736,0.9798511199029395
196,42736,0.9779284705778087
197,42736,0.9756984185821796
198,42736,0.9313747343508054
199,42736,0.976976779837391
200,42736,0.9771575704167323
