Distance,Skew (km) ↓,Kurtosis (km) ↓,Skew (logkm) ↓,Kurtosis (logkm) ↓,"|Pearson(q, km)| ↑","|Pearson(logq, km)| ↑","|Pearson(q, logkm)| ↑","|Pearson(logq, logkm)| ↑",R²(q~km) ↑,R²(logq~km) ↑,R²(q~logkm) ↑,R²(logq~logkm) ↑,"KM score [q,km]","KM score [q,logkm]","KM score [logq,km]","KM score [logq,logkm]",Recommendation
GEM,3.9339893937239525,31.20881971215121,-0.4773673984780232,-0.5422843920007594,0.02201633901143543,0.21739476599120255,0.024508836079742427,0.29307768928914285,0.0004847191834665976,0.047260484280369774,0.0006006830459839296,0.0858945319590636,0.9646243917297208,0.8745908738575338,0.8071200872094484,0.8794592060865604,Prefer LOG10(dist + 1)
PB2002,2.206089298618723,11.145514462614068,-1.0252896956523876,0.449828439915565,0.0317083294796517,0.24225272181594137,0.043024809908933884,0.2981914386790355,0.001005418158390281,0.05868638122723191,0.0018511342676997833,0.08891813410147309,0.9319848453184898,0.8745909241153557,0.9198706287165245,0.8000923410735835,Prefer LOG10(dist + 1)
"MIN(GEM,PB)",3.9346950676648937,31.132861913197985,-0.43698952387453266,-0.6234851353685875,0.022180345397256482,0.21602252463339783,0.027533249008546347,0.29507322862809016,0.0004919677219414886,0.04666573114898698,0.000758079800966871,0.08706821025300526,0.9648445205653621,0.8745908648007825,0.8085298850654943,0.8781661449986132,Prefer LOG10(dist + 1)
