Pairs,ARI,NMI
KMeans–Ward,0.3797683856200139,0.46886029051699135
KMeans–DBSCAN,0.0010081794818770538,0.002530327685219354
Ward–DBSCAN,-0.00042420635048100413,0.0008095782946183912
