Region,N,mean,median,std,p5,p95,share_pos
Americas,28298,0.02461955381042264,0.0387220566249476,0.042763947075089445,-0.06864415320756878,0.06723086562364611,0.7650363983320376
Eurasia,77174,0.015573772276739667,0.0274102507315878,0.04721127018058454,-0.07886736693060536,0.0731171600099972,0.6728691009925623
Oceania,13766,-0.006879974703847989,0.0358500312484073,0.08652672258930444,-0.1483326511698934,0.0877492687835198,0.5579689089060003
