Cluster,N,slope,intercept,r,p
0,9341,0.019650602822283328,1.5100208543818752,0.02245537411888408,0.029986454888720218
1,16925,-0.03748902335369263,2.0255404739941207,-0.06584490774484615,9.922444773945757e-18
2,1484,0.04042059079731682,2.562995711810943,0.023619402082162472,0.36322147150317285
3,25670,-0.08398744995611429,2.000331193217629,-0.12643742270518313,5.8929567382630816e-92
Global,53420,-0.15684352627800213,2.2263258180576435,-0.24400587514937602,0.0
