Region,n,slope,intercept,R2,note
Americas,24156,-0.2019709932811913,2.3596544727180855,0.08609888323255299,
Eurasia,23484,-0.12984488378678774,2.146165843323246,0.050334636278276945,
Oceania,5780,-0.0687928080199818,2.002354035525227,0.0080961190149067,
