config,r,p_value_str,log10_p,slope,intercept,N
"REAL_min(GEM,PB2002)",-0.2950732286280901,< 1e-1888,-1887.838424420654,-0.1292268522816764,2.1563658839915427,91059
PLACEBO_random_lines,-0.2991987623566396,< 1e-1947,-1946.1659437403496,-0.12924811584626508,2.0674632747586483,91059
