domain,tau,beta,ci_low,ci_high,N,method,note
continental,0.5,-0.06420948325414931,-0.0663304710249151,-0.06208849548338353,54223,QuantReg,
continental,0.9,-0.21824881678426397,-0.2225237364881006,-0.21397389708042736,54223,QuantReg,
global,0.5,-0.08761907264521887,-0.08954004331392831,-0.08569810197650943,91059,QuantReg,
global,0.9,-0.322378927941576,-0.32695401465568574,-0.3178038412274663,91059,QuantReg,
oceanic,0.5,-0.1471508597678508,-0.15127792339277524,-0.14302379614292637,36836,QuantReg,
oceanic,0.9,-0.4132130760258711,-0.42371519146272696,-0.40271096058901523,36836,QuantReg,
