k,cluster,mean,std,count,global_silhouette
2,0,0.9995581789784674,0.006131471438285468,53412,0.9994666188337326
2,1,0.3881653125113683,0.2773059049301215,8,0.9994666188337326
4,0,0.9987592363244865,0.009564654646283772,53399,0.9986104144982549
4,1,0.7734244925480863,0.06373010894474766,4,0.9986104144982549
4,2,0.5427446445290958,0.22311608596494195,13,0.9986104144982549
4,3,0.7186259141142116,0.14289484754616866,4,0.9986104144982549
