Pairs,ARI,NMI,N_nonnoise
KMeans–Ward,0.3800116129548683,0.4689581946703455,53401
KMeans–DBSCAN,0.00043368993014733477,0.0013189648347398622,53401
Ward–DBSCAN,-0.00015564825388560268,0.00029840452608798665,53401
