k,silhouette,calinski_harabasz,davies_bouldin,N
2,0.9994834136956193,178175.55328090556,0.4007692840841802,53420
3,0.998986850949625,408337.4324167763,0.32722336309063804,53420
4,0.9986777364484436,586910.0610824204,0.2728861002805193,53420
5,0.9963107985265124,773287.3089607855,0.3237081483438298,53420
6,0.996289639691748,908588.6666798921,0.29931799960466815,53420
