space,units,n_valid,q1,q3,iqr,upper_fence,upper_fence_as_linear_mW_m2
linear_q,mW m^-2,91059,49.0,97.0,48.0,169.0,169.0
log10_q,log10(mW m^-2),91059,1.6901960800285136,1.9867717342662448,0.29657565423773113,2.4316352156228414,270.16881357754954
