domain,x,y,spearman_r,pearson_r,n
global,dist,q,-0.31702204181680477,-0.022180345397256475,91059
global,dist,log_q,-0.31702204163077913,-0.21602252463339766,91059
global,log_dist,q,-0.31702204181680477,-0.027533249008546323,91059
global,log_dist,log_q,-0.31702204163077913,-0.2950732286280901,91059
intraplate_110,dist,q,-0.2739796992284069,-0.01689623614864247,53420
intraplate_110,dist,log_q,-0.2739796983070254,-0.1687591680914972,53420
intraplate_110,log_dist,q,-0.2739796992284069,-0.030210326423685797,53420
intraplate_110,log_dist,log_q,-0.2739796983070254,-0.24400587514937602,53420
