domain,model,slope,p_value,r2,n
global,q_vs_dist,-0.09489970443287737,2.4392061892061683e-41,0.0004919677219417107,91059
global,q_vs_log_dist,-112.7814612306303,3.2847294945066186e-73,0.000758079800966982,91059
global,log_q_vs_dist,-9.881850856040887e-05,0.0,0.04666573114898698,91059
global,log_q_vs_log_dist,-0.12922685228167544,0.0,0.08706821025300526,91059
intraplate_110,q_vs_dist,-0.08008195321074325,9.210652334224794e-07,0.00028548279599072135,53420
intraplate_110,q_vs_log_dist,-318.62650121581237,5.170534534772685e-06,0.00091266382262567,53420
intraplate_110,log_q_vs_dist,-4.874744970675271e-05,1.347261564176936e-230,0.02847965681493414,53420
intraplate_110,log_q_vs_log_dist,-0.15684352627800174,0.0,0.05953886710741285,53420
