Region,N,q_median,q_p90,logq_median,dist_min_median
Americas,43071,68.0,320.85,1.8325089127062364,148.9079319621089
Eurasia,45616,65.0,116.0,1.8129133566428555,186.52618770709026
Oceania,2370,63.0,147.0,1.7993405494535817,134.90134828272906
