lon,lat,q,log_q,dist_gem_km,dist_pb_km,dist_min_km
-127.7864,47.71,489000.0,5.68930885912362,151.96711362890667,128.22638213471217,128.22638213471217
-127.7868,47.7093,425000.0,5.628388930050312,152.07514401328766,128.18445861410217,128.18445861410217
-127.7864,47.71,410000.0,5.6127838567197355,151.96711362890667,128.22638213471217,128.22638213471217
-127.7864,47.7099,383000.0,5.583198773968623,151.97763689597951,128.22674611626698,128.22674611626698
-127.7864,47.7099,207000.0,5.315970345456917,151.97763689597951,128.22674611626698,128.22674611626698
-127.7864,47.71,190000.0,5.278753600952829,151.96711362890667,128.22638213471217,128.22638213471217
-127.7863,47.71,180000.0,5.2552725051033065,151.9585239331593,128.23751140522225,128.23751140522225
-127.786,47.71,154000.0,5.187520720836463,151.93275682590894,128.2708992195324,128.2708992195324
-108.855755,23.941055,123701.0,5.092373210483822,7.605036637883033,7.639404533657721,7.605036637883033
140.6441,28.5717,120744.0,5.081865559037354,238.56084640295717,238.5701088050432,238.56084640295717
114.24403,-8.0605,109480.0,5.039334788738086,333.5579046190281,332.17975749498663,332.17975749498663
140.6447,28.5714,105436.0,5.022988921425964,238.509096333996,238.51837426253536,238.509096333996
-44.8305,28.1369,89800.0,4.9532763366673045,85.79364261894649,85.80152046360134,85.79364261894649
140.6434,28.5715,86000.0,4.9344984512435675,238.64279013651446,238.65205253536485,238.64279013651446
140.6441,28.5717,81700.0,4.912222056532415,238.56084640295717,238.5701088050432,238.56084640295717
140.6439,28.5715,72842.0,4.862381861574274,238.5898611475121,238.5991282528205,238.5898611475121
-127.7864,47.7098,72700.0,4.861534410859038,151.988161214997,128.22711223051485,128.22711223051485
-108.8617489,23.95614241,72632.0,4.861128003090281,6.7218591187986645,6.751555299780384,6.7218591187986645
127.0823,27.2662,72000.0,4.857332496431268,131.59872392127988,0.7936178876358414,0.7936178876358414
-127.7864,47.7099,70800.0,4.850033257689769,151.97763689597951,128.22674611626698,128.22674611626698
-108.8619866,23.95619471,68515.0,4.835785662062868,6.735324709197033,6.764957450276044,6.735324709197033
-127.7864,47.7099,66300.0,4.821513528404773,151.97763689597951,128.22674611626698,128.22674611626698
127.0823,27.2662,66000.0,4.819543935541868,131.59872392127988,0.7936178876358414,0.7936178876358414
127.0823,27.2662,61000.0,4.785329835010767,131.59872392127988,0.7936178876358414,0.7936178876358414
114.24488,-8.06034,59500.0,4.77451696572855,333.59709096539297,332.21355354348236,332.21355354348236
-127.7865,47.7098,57600.0,4.760422483423212,151.99675005115256,128.2159830238447,128.2159830238447
176.4221951,-38.26445633,48000.0,4.681241237375588,3.0618605107714485,16.382263420402253,3.0618605107714485
176.4347529,-38.27043379,45000.0,4.653212513775344,2.824678877986741,18.01391743494549,2.824678877986741
140.6441,28.5717,44204.0,4.645461570238844,238.56084640295717,238.5701088050432,238.56084640295717
127.0823,27.2662,42000.0,4.623249290397901,131.59872392127988,0.7936178876358414,0.7936178876358414
-127.7864,47.7098,41900.0,4.622214022966295,151.988161214997,128.22711223051485,128.22711223051485
-108.8557692,23.94233224,37785.0,4.577319426553794,7.492697887887635,7.526777731561184,7.492697887887635
-44.8302,28.1368,37757.0,4.576997479926748,85.75794217537984,85.76581968675912,85.75794217537984
114.2445,-8.06058,35360.0,4.548512256341035,333.5611320868098,332.1797786485592,332.1797786485592
-108.8619229,23.95431057,34311.0,4.535433375828049,6.897803175353689,6.927870196422043,6.897803175353689
-128.7094,48.4557,33920.0,4.530455843584676,33.858251484388326,33.90195596984276,33.858251484388326
-127.786,47.7101,32600.0,4.513217600067939,151.92223223144208,128.27053749628305,128.27053749628305
127.0749,27.2663,31000.0,4.491361693834273,132.1149512923432,0.30576028376186465,0.30576028376186465
-129.096,47.9553,30468.0,4.483843946921347,3.4465236425652397,3.456828229289678,3.4465236425652397
-127.7866,47.7096,29400.0,4.468347330412158,152.02638863148724,128.205592572342,128.205592572342
-108.8629167,23.95379392,28134.0,4.449231483122493,7.019404666484471,7.049370520182132,7.019404666484471
140.6435,28.5718,27520.0,4.439648429563474,238.62043960969243,238.62969307112132,238.62043960969243
-44.8308,28.1358,26855.0,4.429025156711519,85.77716195652833,85.78489629836753,85.77716195652833
-127.7863,47.71,26000.0,4.414973347970818,151.9585239331593,128.23751140522225,128.23751140522225
-128.6816,48.4303,25680.0,4.409595019396816,33.83493557213222,33.87024373959737,33.83493557213222
-127.7863,47.71,25400.0,4.4048337166199385,151.9585239331593,128.23751140522225,128.23751140522225
127.0832,27.2642,25200.0,4.401400540781544,131.3394170859616,1.0557733857067968,1.0557733857067968
-108.8629073,23.9564604,24143.0,4.3827912343816475,6.781876763260674,6.8112496956735775,6.781876763260674
140.6436,28.5711,23048.0,4.362633245272357,238.63730479409736,238.6465822471047,238.63730479409736
-108.8623609,23.95684034,22410.0,4.3504418565350615,6.706503308140739,6.735910467858993,6.706503308140739
140.6436,28.5711,22360.0,4.349471799214386,238.63730479409736,238.6465822471047,238.63730479409736
-127.7864,47.7099,22100.0,4.344392273685111,151.97763689597951,128.22674611626698,128.22674611626698
176.4407855,-38.27049197,22000.0,4.342422680822207,3.0157405198735336,18.612403811169376,3.0157405198735336
127.0805,27.2622,21700.0,4.336459733848529,131.3264569688084,1.0855528081173287,1.0855528081173287
-127.7863,47.7101,21300.0,4.328379603438738,151.94800112343697,128.23714958779468,128.23714958779468
114.24409,-8.06048,21080.0,4.323870606540509,333.5616227541832,332.1831076862414,332.1831076862414
127.0788,27.2623,20900.0,4.320146286111054,131.45289088752557,0.965618545611034,0.965618545611034
176.436525,-38.27193657,20100.0,4.303196057420489,2.662593082415569,18.28760619065591,2.662593082415569
-127.7864,47.7098,19800.0,4.296665190261531,151.988161214997,128.22711223051485,128.22711223051485
-127.786,47.71,18900.0,4.276461804173244,151.93275682590894,128.2708992195324,128.2708992195324
-127.7867,47.7095,18700.0,4.271841606536499,152.0455026278515,128.19483603992285,128.19483603992285
-127.7864,47.7098,18300.0,4.26245108973043,151.988161214997,128.22711223051485,128.22711223051485
-127.787,47.7093,18000.0,4.2552725051033065,152.09231870946084,128.16220052864156,128.16220052864156
-127.7858,47.7102,17900.0,4.252853030979893,151.8945298881847,128.2924365753923,128.2924365753923
-128.6817,48.4303,17550.0,4.244277120801843,33.82547219227218,33.86079022763018,33.82547219227218
-44.8301,28.1359,16540.0,4.218535505216527,85.7083556946238,85.71612921334884,85.7083556946238
-129.098,47.9473,16244.8,4.210714368840062,3.6656161182194835,3.676587338331384,3.6656161182194835
-44.8302,28.1358,16202.0,4.2095686278359405,85.7144579575969,85.7222156056694,85.7144579575969
140.6432,28.5714,16168.0,4.208656300507248,238.6678833010013,238.67714711016671,238.6678833010013
114.24468,-8.06074,15980.0,4.203576774977972,333.5482132664035,332.165453825149,332.165453825149
-110.31,44.55,15600.0,4.193124598354461,9.24782847133379,1673.117128686626,9.24782847133379
-128.7078,48.4548,15570.0,4.19228861256812,33.89557110070139,33.938929452199204,33.89557110070139
-114.085,31.0617,15436.0,4.188534769899359,106.8009401805306,30.874576068816687,30.874576068816687
-110.3117,44.55,15300.0,4.184691430817598,9.06942162722913,1673.037183750194,9.06942162722913
-128.7093,48.459,14740.0,4.168497483523033,34.23037456666948,34.274686844373605,34.23037456666948
-128.7092,48.456,14660.0,4.1661339703051095,33.907974479371354,33.95171428173571,33.907974479371354
-129.098,47.9567,14417.0,4.158874898455997,3.1606170642351437,3.170847386896737,3.1606170642351437
-127.7862,47.7099,14400.0,4.158362492095249,151.96045902409983,128.2490045945749,128.2490045945749
-127.7862,47.71,14300.0,4.155336037465061,151.94993456737637,128.2486406761917,128.2486406761917
-128.709,48.456,14240.0,4.153509989300837,33.92484725234645,33.96856532840261,33.92484725234645
