cluster,n,theilsen_slope,theilsen_intercept,huber_slope,huber_intercept,quantile_tau,quantile_slope,quantile_intercept
0,9341,0.021982709343602046,1.58243562274244,0.022406279935518483,1.552334061545667,0.5,0.002809597431899027,1.6157827138502447
1,16925,-0.03552057733911836,1.9979499329826422,-0.033742195830123625,2.0037753700574443,0.5,-0.038379417096653656,2.0047467630219318
2,1484,0.07345167073301442,2.2739200439165845,0.10804014184745074,2.2571977114248654,0.5,0.12552170062566748,2.1853356098449916
3,25670,-0.06839279266446321,1.9571724941719153,-0.06196867515533618,1.936132229673816,0.5,-0.0580887297989678,1.9245459775479865
