lat,lon,q,dist_min_km,dist_gem_km,dist_pb_km
-88.3333,130.0,120.0,18053.110144724196,18053.110144724196,18053.285405158716
-77.89,167.09,115.0,4725.1281626330765,4725.1281626330765,4725.303669574075
-77.85,166.67472,64.79,4719.271877774548,4719.271877774548,4719.446776525749
-77.85,166.67472,64.79,4719.271877774548,4719.271877774548,4719.446776525749
-77.85,166.67472,64.79,4719.271877774548,4719.271877774548,4719.446776525749
-77.85,166.67472,64.79,4719.271877774548,4719.271877774548,4719.446776525749
-77.85,166.67472,64.79,4719.271877774548,4719.271877774548,4719.446776525749
-77.85,166.67472,64.79,4719.271877774548,4719.271877774548,4719.446776525749
-77.85,166.67472,64.79,4719.271877774548,4719.271877774548,4719.446776525749
-77.85,166.67472,64.79,4719.271877774548,4719.271877774548,4719.446776525749
-77.85,166.67472,64.79,4719.271877774548,4719.271877774548,4719.446776525749
-77.85,166.67472,64.79,4719.271877774548,4719.271877774548,4719.446776525749
-77.85,166.67472,64.79,4719.271877774548,4719.271877774548,4719.446776525749
-77.85,166.67472,64.79,4719.271877774548,4719.271877774548,4719.446776525749
-77.83,166.675,164.0,4709.2294003700035,4709.2294003700035,4709.404258673431
-77.758141,165.276765,81.5,4725.045441606787,4725.045441606787,4725.218243404411
-77.63333333,162.8533333,62.5986,4765.452188002183,4765.452188002183,4765.621010985446
-77.63333333,162.8533333,62.5986,4765.452188002183,4765.452188002183,4765.621010985446
-77.63333333,162.8533333,62.5986,4765.452188002183,4765.452188002183,4765.621010985446
-77.63333333,162.8533333,62.5986,4765.452188002183,4765.452188002183,4765.621010985446
-77.63333333,162.8533333,62.5986,4765.452188002183,4765.452188002183,4765.621010985446
-77.59,163.4116667,71.3138,4720.198191507944,4720.198191507944,4720.367754111563
-77.59,163.4116667,71.3138,4720.198191507944,4720.198191507944,4720.367754111563
-77.59,163.4116667,71.3138,4720.198191507944,4720.198191507944,4720.367754111563
-77.59,163.4116667,71.3138,4720.198191507944,4720.198191507944,4720.367754111563
-77.59,163.4116667,71.3138,4720.198191507944,4720.198191507944,4720.367754111563
-77.59,163.4116667,71.3138,4720.198191507944,4720.198191507944,4720.367754111563
-77.59,163.4116667,71.3138,4720.198191507944,4720.198191507944,4720.367754111563
-77.59,163.4116667,71.3138,4720.198191507944,4720.198191507944,4720.367754111563
-77.59,163.4116667,71.3138,4720.198191507944,4720.198191507944,4720.367754111563
-77.59,163.4116667,71.3138,4720.198191507944,4720.198191507944,4720.367754111563
-77.5817,164.498,80.0,4670.219816879764,4670.219816879764,4670.391021600607
-77.57833333,163.5116667,54.208125,4710.290793713032,4710.290793713032,4710.460476483114
-77.57833333,163.5116667,54.208125,4710.290793713032,4710.290793713032,4710.460476483114
-77.57833333,163.5116667,54.208125,4710.290793713032,4710.290793713032,4710.460476483114
-77.57833333,163.5116667,54.208125,4710.290793713032,4710.290793713032,4710.460476483114
-77.57833333,163.5116667,54.208125,4710.290793713032,4710.290793713032,4710.460476483114
-77.57833333,163.5116667,54.208125,4710.290793713032,4710.290793713032,4710.460476483114
